Date,Price
12/02/2009,1242.810059
13/02/2009,1236.849976
17/02/2009,1187.040039
18/02/2009,1188.77002
19/02/2009,1167.890015
20/02/2009,1172.709961
23/02/2009,1128.969971
24/02/2009,1171.449951
25/02/2009,1160.829956
26/02/2009,1127.099976
27/02/2009,1116.98999
02/03/2009,1076.670044
03/03/2009,1080.670044
04/03/2009,1110.300049
05/03/2009,1074.52002
06/03/2009,1064.699951
09/03/2009,1043.869995
10/03/2009,1112.439941
11/03/2009,1125.949951
12/03/2009,1164.709961
13/03/2009,1168.52002
16/03/2009,1145.449951
17/03/2009,1192.170044
18/03/2009,1206.959961
19/03/2009,1204.209961
20/03/2009,1187.180054
23/03/2009,1259.810059
24/03/2009,1234.339966
25/03/2009,1236.660034
26/03/2009,1281.300049
27/03/2009,1251.469971
30/03/2009,1220.810059
31/03/2009,1237.01001
01/04/2009,1252.51001
02/04/2009,1294.300049
03/04/2009,1316.160034
06/04/2009,1313.099976
07/04/2009,1275.420044
08/04/2009,1300.75
09/04/2009,1340.280029
13/04/2009,1336.670044
14/04/2009,1322.310059
15/04/2009,1316.51001
16/04/2009,1352.97998
